# Yulengua 词库 · 西班牙语
# 来源：Instituto Cervantes · Plan Curricular · Nociones específicas A1-A2 + B1-B2
词,释义
odiar,讨厌；憎恨
tener miedo,害怕
tener calor,觉得热
tener frío,觉得冷
tener sueño,觉得困
tener sed,觉得渴
tener hambre,觉得饿
tener dolor,觉得疼
estar cansado,累了；疲倦
doler la cabeza,头疼
doler el cuello,脖子疼
mirar,看；注视
nombre,名字；名称
primer apellido,第一姓氏
segundo apellido,第二姓氏
señor,先生
señora,女士；夫人
señores,各位先生；先生们
firmar,签名；签署
llamarse,叫做；名叫
dirección,地址；方向
correo electrónico,电子邮件；邮箱
calle,街道
avenida,大道
paseo,林荫道；散步；游览
plaza,广场
piso,楼层；公寓
número,数字；号码
código postal,邮政编码
casa,房子；家
habitación,房间
país,国家
ciudad,城市
pueblo,城镇；村镇；村庄
vivir,生活；居住
número de teléfono,电话号码
móvil,手机；移动的
lugar de nacimiento,出生地
fecha de nacimiento,出生日期
nacionalidad,国籍
extranjero,外国人；外国的
español,西班牙人；西班牙的；西班牙语
alemán,德国人；德国的；德语
mexicano,墨西哥人；墨西哥的
japonés,日本人；日本的；日语
marroquí,摩洛哥人；摩洛哥的
ser de Laos,来自老挝
ser de Bali,来自巴厘岛
ser de Mozambique,来自莫桑比克
edad,年龄
niño,男孩；儿童
chico,男孩；小伙子
joven,年轻人；年轻的
viejo,老人；老的；旧的
tener [número cardinal] años,[基数词]岁
tener muchos años,年纪很大
tener pocos años,年纪很小
hombre,男人
mujer,女人；妻子
niña,女孩；女童
chica,女孩；姑娘
estado civil,婚姻状况
soltero,单身的
casado,已婚的
viudo,丧偶的；鳏夫/寡妇
separado,分居的
divorciado,离婚的
marido,丈夫
apellidarse,姓……；姓氏为……
presentar(se),介绍；介绍自己
dirección electrónica,电子地址；电子邮件地址
prefijo,前缀；区号
extensión,分机；延伸
tener la nacionalidad,拥有国籍
pedir la nacionalidad,申请国籍
bebé,婴儿
adolescente,青少年
persona mayor,老年人
casarse,结婚
separarse,分居；分开
divorciarse,离婚
pasaporte,护照
carné de identidad,身份证
carné de conducir,驾照
tarjeta de estudiante,学生证
tarjeta de la biblioteca,图书馆卡
llaves,钥匙
cartera,钱包；皮夹
bolso,手提包；包
maleta,行李箱
reloj,手表；钟表
gafas,眼镜
ordenador,电脑
tarjeta de crédito,信用卡
paraguas,雨伞
agenda,日程本；议程
tarjeta de visita,名片
maletín,公文包；手提箱
familia,家庭；家人
padres,父母
padre,父亲
madre,母亲
hijo,儿子；孩子
hermano,兄弟；兄弟姐妹中的男性
tío,叔叔；舅舅；伯父；姑父等
sobrino,侄子；外甥
abuelo,祖父；外祖父
nieto,孙子；外孙
primo,堂/表兄弟姐妹中的男性
pareja,伴侣；情侣；一对
novio,男朋友；未婚夫
papá,爸爸
mamá,妈妈
hijo único,独生子
(hermanos) gemelos,双胞胎兄弟姐妹
ex marido,前夫
ex mujer,前妻
vivir juntos,一起生活
vivir con la pareja,与伴侣同居
amigo,朋友
jefe,老板；上司
compañero,同伴；同事；同学
vecino,邻居
socio,合伙人；会员
compañero de clase,同学
compañero de trabajo,同事
compañero de piso,室友
reunión,会议；聚会
cita,约会；预约
visitar,拜访；参观
invitar,邀请
fiesta,聚会；节日；派对
fiesta de cumpleaños,生日聚会
fiesta de fin de curso,结业聚会
regalo,礼物
regalar,赠送；送礼物
hacer una fiesta de cumpleaños,举办生日聚会
hacer una fiesta de fin de curso,举办结业聚会
desayuno,早餐
comida,饭；午餐；食物
merienda,下午茶；午后点心
cena,晚餐
desayunar,吃早餐
comer,吃；用餐
merendar,吃下午点心
cenar,吃晚餐
ser vegetariano,是素食者
agua mineral con gas,带气矿泉水
agua mineral sin gas,无气矿泉水
leche,牛奶
té,茶
café solo,黑咖啡
café con leche,牛奶咖啡
café cortado,少量牛奶咖啡
cerveza,啤酒
vino blanco,白葡萄酒
vino tinto,红葡萄酒
beber,喝
bebida con alcohol,含酒精的饮料
bebida sin alcohol,不含酒精的饮料
bebida con hielo,加冰的饮料
bebida sin hielo,不加冰的饮料
zumo de naranja,橙汁
zumo de tomate,番茄汁
zumo de frutas,果汁
infusión,草本茶；冲泡饮料
ron,朗姆酒
ginebra,金酒；杜松子酒
cava,卡瓦起泡酒
champán,香槟
botella,瓶子
lata,罐；易拉罐
tomar algo,喝点/吃点东西
carne,肉
pescado,鱼；鱼肉
fruta,水果
verdura,蔬菜
huevos,鸡蛋
pan,面包
bocadillo,夹馅面包；长棍三明治
sándwich,三明治
hamburguesa,汉堡包
lechuga,生菜
tomate,番茄；西红柿
zanahoria,胡萝卜
plátano,香蕉
manzana,苹果
naranja,橙子
patata,土豆；马铃薯
ajo,大蒜
cebolla,洋葱
perejil,欧芹
queso,奶酪
yogur,酸奶
mantequilla,黄油
mayonesa,蛋黄酱
salsa,酱；酱汁
merluza,无须鳕
salmón,三文鱼；鲑鱼
sardina,沙丁鱼
atún,金枪鱼
gambas,虾
pasta,意大利面；面食
arroz,米；米饭
chocolate,巧克力
galletas,饼干
cereales,谷物；早餐麦片
azúcar,糖
sal,盐
pimienta,胡椒；胡椒粉
aceite,油；食用油
carne de ternera,牛肉
carne de cerdo,猪肉
carne de cordero,羊肉
carne de pollo,鸡肉
filete,肉排；鱼片
jamón serrano,塞拉诺火腿
jamón York,约克火腿
helado de chocolate,巧克力冰淇淋
helado de fresa,草莓冰淇淋
helado de vainilla,香草冰淇淋
tarta de manzana,苹果蛋糕
tarta de crema,奶油蛋糕
tarta de chocolate,巧克力蛋糕
receta,食谱
ingrediente,配料；成分
cocinar,做饭；烹饪
llevar salsa,带有酱汁
llevar arroz,带有米饭
primer plato,第一道菜
segundo plato,第二道菜
postre,甜点
sopa,汤
ensalada,沙拉
paella,西班牙海鲜饭
tortilla,西班牙蛋饼；煎蛋
carne con patatas,肉配土豆
filete con patatas,肉排配土豆
plato combinado,拼盘；套餐拼盘
tapa,小吃；塔帕斯
aperitivo,开胃菜；餐前小吃
bueno,好的；好吃的
rico,美味的；富有的
plato,盘子；一道菜
vaso,玻璃杯
taza,杯子；茶杯
servilleta,餐巾
bar,酒吧；吧台
restaurante,餐馆
camarero,服务员
mesa,桌子
el menú,菜单；套餐
la cuenta,账单
cafetería,咖啡馆
pizzería,比萨店
restaurante chino,中餐馆
restaurante italiano,意大利餐馆
restaurante mexicano,墨西哥餐馆
restaurante vegetariano,素食餐馆
comida china,中餐
comida japonesa,日餐
comida rápida,快餐
cocinero,厨师
chef,主厨
reservar una mesa,订桌
tomar el menú,吃套餐
tomar una sopa,喝汤
tomar el plato del día,吃今日特餐
pedir algo,点些什么
pedir el menú,点套餐
pedir una sopa,点汤
pedir el plato del día,点今日特餐
pedir la carta,要菜单
pedir el menú del día,点今日套餐
pedir la cuenta,要账单
traer la carta,拿来菜单
traer el menú del día,拿来今日菜单
traer la cuenta,拿来账单
instituto,中学；学院；机构
universidad,大学
clase,课；课堂；班级
biblioteca,图书馆
colegio,学校；中小学
academia de idiomas,语言培训学校
academia de ballet,芭蕾培训学校
academia de música,音乐培训学校
escuela de idiomas,语言学校
escuela de ballet,芭蕾舞学校
escuela de música,音乐学校
biblioteca municipal,市立图书馆
biblioteca pública,公共图书馆
aula,教室
profesor,老师；教授
estudiante,学生
director,主任；校长；经理；导演
alumno de la escuela,学校的学生
alumno del instituto,中学的学生
clase de español,西班牙语课
clase de matemáticas,数学课
clase de historia,历史课
horario,时间表；课表
examen,考试
programa (del curso),（课程）大纲；课程计划
pagar la matrícula,缴注册费/学费
hacer un curso,上一个课程；参加课程
aprender,学习；学会
estudiar,学习；读书
ir a clase,去上课
dar clases,授课；上课
hacer un examen,参加考试
tener un examen,有一场考试
diploma,文凭
certificado,证书
aprobar,通过；及格；批准
suspender,挂科；不及格；暂停
Matemáticas,数学
Historia,历史
Medicina,医学
Derecho,法律；法学
ejercicio,练习；运动
actividad,活动
lección,课；课文
unidad,单元；单位
página,页面；页
pregunta,问题；提问
en parejas,两人一组
en grupos,分组；小组形式
hablar,说；讲话
leer,读；阅读
escribir,写
entender,理解；听懂
comprender,理解；领会
saber,知道；会
repetir,重复
practicar,练习；实践
hacer los deberes,做作业
hacer un ejercicio,做练习
hacer una actividad,做活动
preguntar,问；提问
contestar,回答
completar,完成；补全
dibujar,画；绘画
jugar,玩；做游戏；比赛
adivinar,猜；猜出
hacer una redacción,写作文
hacer un dibujo,画画
memorizar una regla,记忆规则
memorizar una fórmula,记忆公式
aprender una regla,学习规则
aprender una fórmula,学习公式
repasar un ejercicio,复习练习
repasar una unidad,复习单元
repasar una lección,复习课文
cometer un error,犯错误
hacer errores,犯错误
tener buena letra,字写得好
tener mala letra,字写得不好
Internet,互联网
libro,书
diccionario,词典
papel,纸
bolígrafo,圆珠笔
lápiz,铅笔
goma,橡皮擦；橡胶
fotocopia,复印件
silla,椅子
armario,柜子；衣柜
estantería,书架；架子
pizarra,黑板；白板
mapa,地图
cuaderno,笔记本；练习本
hoja,纸张；叶子
regla,尺子；规则
impresora,打印机
fotocopiadora,复印机
abogado,律师
médico,医生
taxista,出租车司机
ama de casa,家庭主妇
ser camarero,是服务员
ser ingeniero,是工程师
trabajar (en),在……工作
dedicarse a,从事……
dependiente,店员；售货员；依赖的
funcionario,公务员
comercial,销售人员；商务的
empresario,企业家；商人
trabajar de canguro,做保姆工作
hacer de canguro,做保姆
tener una tienda,拥有一家店
tener un negocio,拥有一门生意
tener una peluquería,拥有一家理发店
tener un trabajo en un banco,在银行工作
empresa,公司；企业
oficina,办公室
tienda,商店
teléfono,电话
fax,传真
despacho,办公室；书房
negocio,生意；业务
fábrica,工厂
multinacional,跨国公司；跨国的
panadería,面包店
librería,书店
mesa de despacho,办公桌
traje,西装；套装
corbata,领带
uniforme,制服
trabajo,工作
profesión,职业
trabajar,工作
comprar,买；购买
vender,卖；出售
cliente,客户；顾客
comprar un producto,购买产品
tener una reunión,开会
hacer fotocopias,复印
preparar una factura,准备发票
contestar al teléfono,接电话
hablar con clientes,与客户交谈
hablar con el jefe,与老板交谈
enviar un fax,发送传真
enviar un correo electrónico,发送电子邮件
estar en paro,失业
tener trabajo,有工作
tener una entrevista (de trabajo),参加工作面试
escribir el currículum,写简历
enviar el currículum,发送简历
vacaciones,假期；休假
tener vacaciones,有假期；休假
ganar dinero,赚钱
estar jubilado,已退休
ser trabajador,是勤劳的人；是劳动者
turista,游客
oficina de información,信息咨询处
oficina de turismo,旅游咨询处
viajar,旅行
leer el periódico,读报纸
leer un libro,读书
leer una revista,读杂志
ver la televisión,看电视
ver una película,看电影
escuchar música,听音乐
escuchar la radio,听广播
escuchar una canción,听歌
ir a un bar,去酒吧
ir a una discoteca,去迪厅
ir a un café,去咖啡馆
ir a un restaurante,去餐馆
ir a un museo,去博物馆
ir al cine,去电影院
ir al teatro,去剧院
ir al parque,去公园
cantar,唱歌
bailar,跳舞
tiempo libre,空闲时间
afición,爱好
hobby,爱好
parque de atracciones,游乐园
parque zoológico,动物园
zoo,动物园
quedar,约见；约好；留下
ir de paseo,去散步
ir de compras,去购物
ir de excursión,去郊游
caminar,步行；行走
tener una cita,有约会
tener planes,有计划
salir con amigos,和朋友出去
tomar un café,喝咖啡
tomar una caña,喝一杯生啤酒
tomar una copa,喝一杯酒
película,电影
concierto,音乐会
ir al circo,去马戏团
ir a un concierto,去听音乐会
entrada,票；入口
invitación,邀请；请柬
programa,节目；计划；程序
exposición,展览
obra de teatro,戏剧；舞台剧
ópera,歌剧
musical,音乐剧；音乐的
concierto de música clásica,古典音乐会
concierto de música rock,摇滚音乐会
comprar una entrada por teléfono,通过电话买票
comprar una entrada por Internet,通过网络买票
reservar una entrada por teléfono,通过电话订票
reservar una entrada por Internet,通过网络订票
nadar,游泳
esquiar,滑雪
jugar al fútbol,踢足球
jugar al baloncesto,打篮球
jugar al tenis,打网球
gimnasio,健身房
piscina,游泳池
practicar un deporte,从事一种运动
montar en bicicleta,骑自行车
hacer senderismo,徒步旅行
juego,游戏；比赛
compañero (de juego),玩伴
jugar a las cartas,玩纸牌
jugar al parchís,玩西班牙飞行棋
jugar a la oca,玩鹅棋
jugar al ajedrez,下国际象棋
televisión,电视；电视机
radio,广播；收音机
recibir una postal,收到明信片
recibir un fax,收到传真
recibir una llamada,接到电话
recibir un correo,收到邮件
responder a una postal,回复明信片
responder a un fax,回复传真
responder a una llamada,回电话
responder a un correo,回复邮件
sobre,信封；关于
sello,邮票；印章
escribir una postal,写明信片
escribir una carta,写信
escribir un mensaje electrónico,写电子邮件
enviar,发送
recibir,收到；接收
responder,回答；回复
enviar una postal,发送明信片
enviar una carta,发送信件
recibir una carta,收到信件
responder una postal,回复明信片
responder una carta,回信
responder un fax,回复传真
dejar una nota,留便条
escribir una nota,写便条
ir a Correos,去邮局
teléfono fijo,固定电话
teléfono móvil,手机
tarjeta telefónica,电话卡
cabina,电话亭；小隔间
llamar por teléfono,打电话
hablar por teléfono,通过电话交谈
dejar un mensaje,留言
quiosco,报刊亭
leer un periódico,读报纸
entrevista,采访；面试
periodista,记者
anuncios,广告；公告
publicidad,广告；宣传
presentador,主持人；演示者
ver un programa de televisión,看电视节目
escuchar un programa de radio,听广播节目
arroba,@符号；艾特
guión,连字符；短横线
guión bajo,下划线
punto,句点；点；小数点
página web,网页
dirección de Internet,网址；互联网地址
foro (de discusión),（讨论）论坛
chat,聊天室；在线聊天
virus,病毒；计算机病毒
navegar por Internet,浏览互联网
navegar por la red,浏览网络
mandar un mensaje electrónico,发送电子邮件
recibir un mensaje electrónico,收到电子邮件
enviar un mensaje electrónico,发送电子邮件
comprar un piso,买公寓
comprar un apartamento,买公寓
vender un piso,卖公寓
vender un apartamento,卖公寓
alquilar un piso,租公寓
alquilar un apartamento,租公寓
vivir en una casa,住在房子里
vivir en un apartamento,住在公寓里
vivir en un piso,住在住宅里
buscar piso,找房子
buscar alojamiento,找住宿
compartir piso,合租
cambiarse de casa,搬家
apartamento,公寓
estudio,单间公寓；工作室
ascensor,电梯
escalera,楼梯
terraza,露台；阳台
jardín,花园
ventana,窗户
puerta,门
sala de estar,起居室；客厅
dormitorio,卧室
cocina,厨房
(cuarto de) baño,浴室；卫生间
salón,客厅；大厅
garaje,车库
nuevo,新的
piso exterior,朝外的公寓
piso interior,朝内的公寓
piso céntrico,位于市中心的公寓
bien comunicado,交通便利
mal comunicado,交通不便
tener ascensor,有电梯
tener teléfono,有电话
tener aire acondicionado,有空调
tener calefacción central,有中央供暖
tener calefacción individual,有独立供暖
edificio,建筑物；楼房
chalé,独栋住宅；别墅
piso de estudiantes,学生公寓；学生合租房
pasillo,走廊
suelo,地板；地面
techo,天花板；屋顶
pared,墙
dormitorio de invitados,客房
propietario,业主；房东
piso de [número cardinal] habitaciones,有[基数词]个房间的公寓
amueblado,带家具的
sin amueblar,不带家具的
en buen estado,状况良好
en mal estado,状况不佳
limpio,干净的
sucio,脏的
limpiar la casa,打扫房子
limpiar la cocina,打扫厨房
limpiar el baño,打扫浴室
lavar los platos,洗碗
lavar la ropa,洗衣服
cama,床
sofá,沙发
sillón,扶手椅
ducha,淋浴；淋浴间
lavabo,洗手池
televisión (TV),电视机
vídeo,录像；录像机
DVD,DVD；DVD光盘
cocina eléctrica,电炉
cocina de gas,燃气灶
nevera,冰箱
lavadora,洗衣机
lavaplatos,洗碗机
microondas,微波炉
carta,信；信件；菜单
postal,明信片
(oficina de) correos,邮局
banco,银行
dinero,钱；金钱
euro,欧元
céntimo (de euro),（欧元）分
tarjeta (de crédito),（信用）卡
cambiar dinero,兑换货币
moneda,硬币；货币
billete,纸币；票
cajero automático,自动取款机
hospital,医院
enfermera,护士（女）
Seguridad Social,社会保障；社保
ambulancia,救护车
Cruz Roja,红十字会
policía,警察；警方
bombero,消防员
comisaría (de policía),警察局
socorro,救命；求救
llamar a la policía,报警
llamar a los bomberos,叫消防员
teléfono de emergencia,紧急电话号码
mercado,市场
supermercado,超市
salida,出口；离开
información,信息；咨询
comprador,买家；购买者
vendedor,卖家；售货员
centro comercial,购物中心
papelería,文具店
peluquería,理发店；美发店
estanco,烟草店
frutería,水果店
carnicería,肉店
tienda de ropa,服装店
tienda de deportes,体育用品店
tienda de regalos,礼品店
tienda de decoración,家居装饰店
tienda de discos,唱片店
agencia de viajes,旅行社
frutero,水果商；水果店店员
carnicero,肉贩；肉店店员
panadero,面包师；面包店店员
devolver,退还；归还
cambiar,更换；改变；兑换
ir de tiendas,逛商店
hacer la compra,采购日用品；买菜
pantalones,裤子
(pantalones) vaqueros,牛仔裤
falda,裙子
camisa,衬衫
jersey,毛衣
zapatos,鞋
blusa,女式衬衫
pijama,睡衣
cazadora,夹克；短外套
gorra,鸭舌帽
sombrero,帽子
pañuelo,围巾；头巾；手帕
guantes,手套
bufanda,围巾
sujetador,胸罩
braga,女式内裤
calzoncillo,男式内裤
medias,长袜；丝袜
calcetines,袜子
bañador,泳衣
biquini,比基尼
botas,靴子
probador,试衣间
ropa de hombre,男装
ropa de mujer,女装
ropa de niño,童装
ponerse,穿上；变得
quitarse,脱下
probarse,试穿
docena de huevos,一打鸡蛋
lata de tomate,一罐番茄
lata de atún,一罐金枪鱼
paquete de harina,一包面粉
paquete de arroz,一包大米
caja de galletas,一盒饼干
bote de mermelada,一罐果酱
bote de tomate,一罐番茄酱
litro de leche,一升牛奶
litro de agua,一升水
kilo de patatas,一公斤土豆
kilo de filetes,一公斤肉排
un kilo,一公斤
medio kilo,半公斤
un cuarto de kilo,四分之一公斤
cien gramos,一百克
doscientos gramos,两百克
hacer la lista de la compra,列购物清单
pesar,称重；重量为
precio,价格
tarjeta,卡；卡片
pagar con tarjeta,刷卡付款
dejar una propina,留小费
dar una propina,给小费
con IVA,含增值税
sin IVA,不含增值税
pagar en efectivo,现金付款
estar enfermo,生病
estar malo,身体不舒服
sentirse bien,感觉好
sentirse mal,感觉不好
tener gripe,得流感
tener alergia,过敏
tener fiebre,发烧
tener tos,咳嗽
llevar una vida sana,过健康的生活
tener una enfermedad,患病
tener dolor de cabeza,头疼
tener dolor de espalda,背疼
tener dolor de estómago,胃疼
doler,疼；使疼痛
enfermero,护士（男/泛称）
ir al hospital,去医院
ir al médico,去看医生
urgencias,急诊；急诊室
farmacia,药店
tomar una medicina,吃药
tomar un medicamento,吃药
agua,水
jabón,肥皂
lavarse la cara,洗脸
lavarse las manos,洗手
lavarse el pelo,洗头
lavarse los dientes,刷牙
bañarse,洗澡；泡澡
bañera,浴缸
toalla,毛巾
champú,洗发水
gel,凝胶；沐浴露
crema,霜；乳霜
colonia,古龙水
desodorante,除臭剂
cepillo de dientes,牙刷
pasta de dientes,牙膏
tener el pelo limpio,头发干净
tener el pelo sucio,头发脏
tener las manos limpias,手干净
tener las manos sucias,手脏
tener los dientes limpios,牙齿干净
tener los dientes sucios,牙齿脏
llevar el pelo limpio,头发干净
llevar el pelo sucio,头发脏
llevar las manos limpias,手干净
llevar las manos sucias,手脏
llevar los dientes limpios,牙齿干净
llevar los dientes sucios,牙齿脏
cepillarse los dientes,刷牙
llevar el pelo largo,留长发
llevar el pelo corto,留短发
llevar el pelo rizado,留卷发
llevar el pelo liso,留直发
plano,平面图；地图；方案
comprar un billete de ida,买单程票
comprar un billete de ida y vuelta,买往返票
oficina de información y turismo,旅游信息中心
ir a Madrid,去马德里
ir a la playa,去海滩
ir a la montaña,去山区
ir al campo,去乡下
hacer las maletas,收拾行李
deshacer las maletas,打开行李
mirar un plano,看平面图
mirar un mapa,看地图
consultar un plano,查阅平面图
consultar un mapa,查阅地图
tener un seguro de viaje,有旅行保险
reservar un billete de tren,预订火车票
reservar un billete de avión,预订机票
reservar un billete de autobús,预订汽车票
guía turístico,导游
vuelo,航班；飞行
excursión,短途旅行；郊游
viaje corto,短途旅行
viaje largo,长途旅行
ir de viaje,去旅行
ir de vacaciones,去度假
viajar en avión,乘飞机旅行
viajar en barco,乘船旅行
viajar en tren,乘火车旅行
viajar en coche,乘汽车旅行
viajar en autobús,乘公交旅行
botas (de montaña),登山靴
mochila,背包
abrigo,大衣；外套
gorro,毛线帽；帽子
hotel,酒店
campin,露营地；露营
habitación doble,双人房
habitación individual,单人房
habitación con baño,带浴室的房间
habitación con teléfono,带电话的房间
habitación con televisión,带电视的房间
habitación con aire acondicionado,带空调的房间
pensión completa,全食宿
media pensión,半食宿
alojamiento y desayuno,住宿加早餐
reservar,预订；保留
hacer una reserva,预订
carretera,公路；道路
aeropuerto,机场
puerto,港口
estación de tren,火车站
estación de metro,地铁站
parada de autobús,公交站
parada de taxi,出租车站
parada de metro,地铁站
ir andando,步行前往
ir en coche,开车前往
ir en taxi,乘出租车前往
ir en tren,乘火车前往
ir en metro,乘地铁前往
ir en autobús,乘公交前往
ir en avión,乘飞机前往
ir en barco,乘船前往
coche,汽车
metro,地铁
tren,火车
autobús,公共汽车；公交车
taxi,出租车
conductor,司机；驾驶员
aparcamiento,停车场；停车
estación de autobuses,汽车站
avión,飞机
boca de metro,地铁入口
mirar un plano de metro,查看地铁图
ciclista,骑自行车的人
coger un taxi,乘出租车
coger el metro,乘地铁
coger el tren,乘火车
tomar un taxi,乘出租车
tomar el metro,乘地铁
tomar el tren,乘火车
montar en moto,骑摩托车
coger un barco,乘船
piloto,飞行员
azafata,空乘；女乘务员
coger el avión,乘飞机
tomar el avión,乘飞机
rueda,车轮；轮子
mecánico,机械师；修理工
lavar el coche,洗车
caro,贵的
barato,便宜的
cheque,支票
pobre,贫穷的；穷人
anuncio,广告；告示
presidente,总统；主席
empleado,雇员；员工
agricultor,农民；农业从业者
cerdo,猪
vaca,牛；母牛
cordero,羔羊；羊肉
ciencia,科学
tecnología,技术；科技
científico,科学家；科学的
(ordenador) portátil,笔记本电脑
PC,个人电脑（PC）
informática,计算机科学；信息技术
informático,计算机专业人员；IT人员
CD-ROM,CD-ROM；光盘
chatear,在线聊天
educación,教育
capital,首都；资本
rey,国王
reina,女王；王后
gobierno,政府
política,政治
partido político,政党
(primer) ministro,（首相/总理）部长
príncipe,王子
princesa,公主
Ayuntamiento,市政府；市政厅
juez,法官
ejército,军队
guerra,战争
paz,和平
cine,电影；电影院
teatro,戏剧；剧院
música,音乐
foto,照片
museo,博物馆
ser interesante,有趣的
ser bonito,漂亮的
arte,艺术
artista,艺术家
fotografía,摄影；照片
literatura,文学
monumento,纪念碑；古迹
estatua,雕像
novela,小说
poesía,诗歌
cuadro,画；绘画作品
cantante,歌手
músico,音乐家
canción,歌曲
guitarra,吉他
piano,钢琴
violín,小提琴
flamenco,弗拉门戈
rock,摇滚乐
pop,流行音乐
jazz,爵士乐
tango,探戈
(un) musical,音乐剧
música clásica,古典音乐
música moderna,现代音乐
tocar (un instrumento),演奏（乐器）
catedral,大教堂
iglesia,教堂
arquitecto,建筑师
pintor,画家
dibujo,图画；素描
palacio,宫殿
castillo,城堡
pintar,画；绘画
escritor,作家
cuento,故事；短篇小说
fotógrafo,摄影师
cámara (de fotos),照相机
hacer fotos,拍照
hacer una foto,拍一张照片
ver una exposición,看展览
actor,男演员；演员
actriz,女演员
religión,宗教
cristiano,基督徒；基督教的
judío,犹太人；犹太教的
musulmán,穆斯林；伊斯兰教的
budista,佛教徒；佛教的
ir a la iglesia,去教堂
ir a la mezquita,去清真寺
ir a la sinagoga,去犹太教堂
Iglesia,教会；教堂
Navidad,圣诞节
Ramadán,斋月（Ramadan）
Sabbat,安息日（Sabbath）
creer en Dios,信仰上帝
creer en Alá,信仰安拉
creer en la reencarnación,相信轮回
sol,太阳
mundo,世界
cielo,天空；天堂
luna,月亮
estrella,星星
planeta,行星
lugar,地方；地点
Norte,北；北方
Sur,南；南方
Este,东；东方
Oeste,西；西方
montaña,山；山区
mar,海
río,河；河流
playa,海滩
región,地区；区域
Noroeste,西北
Nordeste,东北
Suroeste,西南
Sudeste,东南
isla,岛；岛屿
desierto,沙漠
bosque,森林
costa,海岸
interior,内陆；内部
(el) centro,中心；市中心
parque,公园
escuela,学校
parada de taxis,出租车站
campo,乡村；田野；领域
habitante,居民
barrio,街区；社区
esquina,街角；拐角
ayuntamiento,市政府；市政厅
plaza mayor,主广场；大广场
calle peatonal,步行街
calle mayor,主要街道
calle comercial,商业街
ciudad cosmopolita,国际化城市
ciudad abierta,开放的城市
ciudad industrial,工业城市
ciudad antigua,古老的城市
ciudad moderna,现代化城市
ciudad universitaria,大学城
naturaleza,自然；大自然
primavera,春天
verano,夏天
otoño,秋天
invierno,冬天
llover,下雨
nevar,下雪
hacer frío,天气冷
hacer calor,天气热
hacer sol,天气晴
hacer viento,刮风
hacer buen tiempo,天气好
hacer mal tiempo,天气坏
lluvia,雨
nieve,雪
niebla,雾
tormenta,暴风雨；雷雨
nube,云
aire,空气
viento del norte,北风
viento del sur,南风
animal,动物
perro,狗
gato,猫
pájaro,鸟
pez,鱼
caballo,马
mosca,苍蝇
mosquito,蚊子
araña,蜘蛛
planta,植物
flor,花
árbol,树
rosa,玫瑰
margarita,雏菊
pino,松树
olivo,橄榄树
ramo de flores,一束花
músculo,肌肉
hueso,骨头
piel,皮肤
corazón,心脏
pulmón,肺
cuello,脖子；颈部
hombros,肩膀
pecho,胸部
cintura,腰；腰部
barriga,肚子
rodilla,膝盖
